Bangla,English,Reason,Categry,Label
????? ???? ????? ????? ???? ??? ??? ???? ??????? ??? ???? ??,Islam cannot be a religion that has to be saved by killing people,Hate towards religion,Religious,Yes
????? ???????? ???????? ????????,Shamim Patwari Congratulations Bangladesh,Normal Sentence,Sports,No
"???????? ???????? ??????? ?????, ?????? ??? ??-?? ???? ???? ???? ???? ????? ???? ????-????? ??????????? ??? ???? ???? ","Congratulations to Bangladesh cricket team, we should play more matches with bigger teams - then confidence will increase",Normal Sentence,Sports,No
"?????? ??????????, ???????, ????????? ????? ??? ??????? ???? ???? ?????? ??? ????, ????? ???? ??????? ????? ????? ?????? ????? ??","Please do not catch rickshaw pullers, day laborers, workers. Hold on to your feet. To eat a handful of rice, he took to the streets with a stomach ache. Don't make fun of them",Normal Sentence,Other,No
??? ???? ????? ?????????? ????? ??????? ????,It was very painful to see  the rickshaw puller uncle screaming,Normal Sentence,Other,No
?? ???????? ????? ??? ???? ??? ???? ??????? ?? ????? ????? ???? ?? ????? ????,When will the oppression of this farce stop? Will the government pay the monthly rent of my shop?,Normal Sentence.Expressing the Emotions,Other,No
???? ??? ???? ???? ??? ????? ????? ??,We will benefit if everyone obeys the law,Normal Sentence,Other,No
????? ??????? ??????? ???????? ?? ??? ????? ?????? ???? ???????? ??? ?????? ?????????? ?????? ??? ??? ????? ?????? ?? ????-????? ???? ??,"Speak in pure Bengali or English without dishonesty for the sake of Allah, my brother.",Normal Sentence,Personal,No
 ??? ???? ???????? ?????? ?????????? ??????,The child of Hindu is the child of Mother fucker,Directly hit the hindu religiouspeopple or religion.,Religious,Yes
?????? ???? ?????????? ????????? ????? ?? ??? ??? ??????,Do you have any problem when the son of slut Rohingya enter Bangladesh?,Directly hit a race.,Geopolitical,No
"?????? ????? ???????, ??????? ???? ???? ??????? ????????? ????????? ???? ??????? ?? ??? ???????? ???? ??????","May the personal security of our very popular, best young MP of the country not be disturbed. That too needs to be seen.",Normal Sentence,Personal,No
?????? ??????? ????? ???? ???????? ?? ??????? ??? ?????,All the son of slut Rohingyas need to be expelled,Directly hit a race.,Geopolitical,Yes
???????? ?????? ????? ????? ???? ??? ?????? ??????? ?????,Mashrafe's brother is not comparable. Survive in the heart of Bengal.,Normal Sentence,Sports,No
??????? ??? ???? ??? ???????,Traitor brother you are very suitable,Directly hit a individual person.,Political,Yes
?? ????? ????? ?? ???? ????? ?? ?? ?????,"And if people don't find it, you call asshole  Jafar",Directly hit a individual person.,Personal,Yes
???? ???? ????? ???? ?? ?? ??????? ?????? ???? ???? ???? ??? ??????,I was in a very bad mood and I also laughed a lot when I saw J Kibria brothers smile,Smiling,Personal,No
?????? ????? ??? ???? ???? ??????,May Allah keep them happy forever.,Wishful sentence,Geopolitical,No
?? ???? ?????? ???? ???????? ????,The Malauns(Hindu) ran to get that smell,Directly hit a religion.,Geopolitical,Yes
